# RUN  NP   E_e       dE_e   S_e       dS_e     E_p       dE_p   S_p       dS_p   
  1    1    1838.301  0.157  1378.748  164.253  1839.613  0.184  1379.330  624.013
  2    1    1838.354  0.100  1157.604  153.362  1839.718  0.111  1141.995  153.220
  3    3    1841.462  0.105   881.849  155.442  1841.340  0.087  1047.343  138.351
  4    5    1843.378  0.093   869.697  141.466  1842.843  0.083   922.423  120.911
  5    7    1844.226  0.119  1356.463  706.127  1844.034  0.151   683.670  191.162
  6    9    1848.684  0.108  1386.099  161.900  1848.148  0.137  1092.829  212.766
  7    1    1838.529  0.099  1339.010  136.315  1837.918  0.081   908.251  150.790
  8    2    1841.066  0.103  1196.432  147.464  1840.566  0.082  1072.882  128.702
  9    4    1841.905  0.088  1087.600  141.944  1841.590  0.087  1056.081  148.505
 10    5    1843.194  0.097  1159.366  149.114  1842.758  0.081  1089.960  115.760
 11    6    1843.938  0.127  1202.335  181.250  1843.211  0.088  1193.475  148.337
 12    8    1845.257  0.089  1068.425  131.278  1844.750  0.080   980.029  128.590
 13    9    1846.824  0.112  1289.066  156.629  1846.327  0.085  1066.823  138.834
