# RUN  NP   E_e       dE_e   S_e       dS_e     E_p       dE_p   S_p       dS_p   
  1    1    1838.285  0.150  1980.087  221.951  1839.703  0.179  1387.469  248.775
  2    1    1838.431  0.094  1137.179  133.751  1839.782  0.104  1178.886  141.056
  3    3    1841.512  0.099  1149.851  162.588  1841.403  0.082  1027.412  121.105
  4    5    1843.418  0.088   957.111  128.686  1842.908  0.078   992.944  111.165
  5    7    1844.280  0.109  1506.032  153.177  1844.040  0.141   778.387  182.074
  6    9    1848.718  0.102  1538.984  143.768  1848.043  0.173  1501.175  267.084
  7    1    1838.568  0.092  1422.156  130.447  1837.969  0.077   962.104  131.666
  8    2    1841.047  0.096  1381.239  134.457  1840.590  0.077  1176.395  115.687
  9    4    1841.964  0.083  1190.674  128.401  1841.634  0.080  1145.691  128.684
 10    5    1843.207  0.089  1364.914  134.368  1842.808  0.075  1178.772  105.131
 11    6    1843.987  0.118  1225.134  162.383  1843.266  0.083  1168.164  126.387
 12    8    1845.288  0.084  1135.519  117.954  1844.788  0.075  1044.060  113.032
 13    9    1846.853  0.105  1361.309  142.622  1846.376  0.082  1157.213  124.963
 
